pwsid,pws_name
WA5304212,QUEEN ANNE WATER WORKS LLC
WA5305795,COMBINED WATER SYSTEM
WA5306136,NEWBERRY HILL
WA5322690,ELDERWOOD WATER ASSOCIATION
WA5324529,FIRCREST COMMUNITY WATER SYSTEM
WA5310340,DELTA LONG LK ACRE TRACTS
WA5317970,WEST BEACH ROAD ASSOCIATION
WA5327270,GAYS WATER DISTRICT ASSOCIATION
WA5327450,GEORGIA MANOR WATER ASSOC
WA5331820,HAVEN BY THE SEA
WA5363750,OMAK CITY OF
WA5376658,SCHMID
WA5380200,SKYLINE ACRES INC
WA5313644,RIVER OAKS RV PARK & CAMPGROUND
WA5318290,STEVENS CO PUD - RIVERSIDE
WA5331440,HARRINGTON LAGOON WATER ASSN
WA5346150,LATAH TOWN OF
WA5364070,ORCHARD GROVE
WA5367600,PINE TERRACE WATER ASSOCIATION
WA5374130,RONDELAY MEADOWS
WA5376973,SEABOLD HEIGHTS
WA5304979,BEACHCOMBER H2O CO
WA5311100,CARBONADO WATER DEPT
WA5311998,CEDAR VILLA
WA5319480,DIXIE WATER ASSOCIATION
WA5322888,MECCA COMMUNITY ASSOCIATION
WA5324643,FARANDA WATER ASSOCIATON
WA5326450,FREELAND WATER AND SEWER DISTRICT
WA5326649,RAINIER VIEW
WA5354740,MINTERBROOK
WA5355370,MITCHELL POINT WATER ASSN
WA5396950,WILKESON WATER DEPARTMENT
WA5398200,WOODLAND CITY OF
WA5347628,LIVINGSTON BAY COMMUNITY ASSN
WA5348345,LOST LAKE PROPERTY OWNERS ASSN
WA5352900,MCNEIL ISLAND WATER
WA5355205,OTTERCREST ESTATES WATER SYSTEM
WA5359000,NESPELEM WATER DEPT
WA5306073,WARNER FLATS DOMESTIC WATER CO INC
WA5307350,BLALOCK ORCHARD DIST 10
WA5361750,NORTHGATE TERRACE COMMUNITY CLUB
WA5363480,OLYMPIC MARINE VIEW WATER ASSOC
WA5366936,BUCKLIN
WA5369350,PRIDDY VISTA
WA5370450,QUINCY WATER DEPARTMENT CITY OF
WA5383424,SPRUCE ROAD
WA5386115,SUNSET FARM
WA5386202,SUNSET WATER DISTRIBUTION ASSOC
WA5314371,KINETH CLAIM COMMUNITY WATER ASSOC.
WA5318575,DEL BAY
WA5319215,DIAMOND SPRINGS WATER ASSOCIATION
WA5301842,PROSPECT WATER ASSN INC
WA5309150,BUENA VISTA COMMUNITY CLUB
WA5323456,LAKE-O-THE-WOODS
WA5324800,FERNCLIFF
WA5343350,LA CONNER WATER DEPT
WA5345086,LAKEHURST H2O
WA5300323,PORT GAMBLE
WA5302948,ARLINGTON EAST MUTUAL WATER ASSN.
WA5304956,BAYVIEW ESTATES WATER COMPANY
WA5306900,BINGEN WATER DEPT
WA5308246,JAW FARMS INC
WA5308914,BRUTUS WATER SYSTEM
WA5312284,CHELAN CO PUD 1
WA5314100,COLTON WATER DEPARTMENT
WA5323111,SNO PUD 1 - KAYAK
WA5328551,RANCH ACRE
WA5358100,NACHES TOWN OF
WA5391130,STEVENS CO PUD - WAITTS LAKE
WA53AA482,ROOSEVELT VIEWS SUBDIVISION
WA5319095,DETROIT WATER SERVICE ASSN
WA5319901,SHAWNEE HILL CONDOMINIUM  WS
WA5392600,WALLULA WATER DISTRICT
WA5324155,ELMA EVERGREEN VILLAGE
WA5325137,FIR GROVE MOBILE PARK
WA5325384,AHEARN WATER SYSTEM
WA5325547,FISHERMAN BAY WATER ASSOCIATION
WA5326791,RIDGEVIEW ESTATES COMMUNITY ASSN.
WA5327241,ARLINGTON TERRACE
WA5328392,GOLDEN OAK
WA5332300,HEIGHTS WATER
WA5342447,KITTITAS COUNTY WATER DISTRICT #4
WA5347451,WILDERWOOD HOA
WA5355035,MINERAL HEIGHTS ASSOCIATION
WA5355060,MINERVA BEACH RESORT
WA5358750,NEILTON MEADOWLAND WD 8 A
WA5368400,POMEROY CITY OF
WA5372975,RIVERVIEW
WA5375550,SALKUM WATER SUPPLY
WA5311065,CAPE SAN JUAN WATER DISTRICT
WA5396750,WIDARAMA BEACH WATER RIGHTS ASSN.
WA5311975,CEDAR PARK
WA5322416,EDGEWATER BEACH WATER CO
WA5322572,LAKE LAWRENCE
WA5300954,EVERGREEN APARTMENTS
WA5329000,GRANGER WATER DEPARTMENT
WA5331075,HARBORLAND MOBILE PARK
WA5338651,LOON LAKE ACRES
WA5368750,PORT MADISON WATER COMPANY
WA53AB833,STEVENS CO PUD - DENISON
MN1020041,HAM LAKE APARTMENTS
WA5304930,BAYSHORE TERRACE WATER SYSTEM
WA5305811,FORESTVIEW SENIOR COMMUNITY LLC
WA5357300,MOXEE WATER DEPARTMENT
WA5363695,LOVELY LANE HOMEOWNERS
WA5369008,PORTLAND FAIR ESTATES
WA5312247,CHATTAROY SPRINGS WATER ASSN
WA5301000,CITIZENS WATER ASSOCIATION
WA5301832,HARBOR CREST
WA5353475,MELODY PINES MHP LLC
WA5355175,MINTER CREEK RAPIDS
WI8510408,FIFIELD SANITARY DISTRICT
WA5330434,STEVENS CO PUD - MISSION RIDGE
WA5334375,HORIZONS WEST
WA5300307,CARLSBORG LUD 10 12 13 14
WA5300950,MORNING MEADOWS
WA5342635,KITSAP WEST MHC WATER CO
WA5345400,LAKEWOOD MANOR ASSOCIATION
WA5347700,LOGANDALE WATER ASSOC INC.
WA5302150,EVERGREEN VALLEY WATER SYSTEM
WA5302273,OLALLA HOUSING
WA5303160,ARTONDALE
WA5305704,WAYSIDE VILLAGE
WA5351750,MARION WATER CO INC
WA5360665,NORTH LOPEZ SERVICE
WA5363400,OLGA WATER USERS INC
WA5377147,HENDERSON BAY
WA5390976,VALLEY HIGH PARK
WA5338550,KEYPORT WATER
WA5345090,LAKELAND VILLAGE WATER
WA5352103,MAXWELTON BEACH
WA5353780,MERIDIAN HEIGHTS WATER DISTRICT
WA5307167,FOREST PARK
WA5361129,THREE FINGERS
WA5361400,NORTH SUNSET POINT WATER USERS ASSN
WA5370950,RAINIER VIEW PARK ADDITION
WA5307610,BOISTFORT VALLEY
WA5372400,RIDGEFIELD PUBLIC WORKS
WA5372850,RIVERSIDE TOWN OF
WA5387195,TAYLOR ROAD WATER SYSTEM
WA5388665,TOLMIE COVE
WA5318305,DECEPTION PARK VIEW
WA5319208,VIKING ROAD WATER SYSTEM
MN1060007,ODESSA
MN1820035,JACKSON MEADOW
MN1540011,FLOM TOWNSHIP
MN1130013,RUSH CITY
WA5381315,SOLMAR WATER
MN1480004,GREEN ACRES MOBILE HOME PARK
MN1500022,LANSING TOWNSHIP
MN1680015,PINE RIDGE ESTATES
MN1270076,CURTIS FLATS
MN1560016,HENNING
WA5304308,ANDERSEN WATER
WA5396887,OCOSTA MOBILE HOME PARK LLC
MN1670007,ROCK COUNTY RURAL WATER SYSTEM
WA5393085,WASHINGTON LAND YACHT HARBOR
WA53AD532,KOONTZ RANCH WATER SYSTEM
WA5332550,HMC MANAGEMENT WATER SYSTEM
NN4903073,CANE VALLEY NTUA
CO0235676,RIVERVIEW CG
CO0121610,PEYTON PINES
CO0125720,TABERNASH MEADOWS WSD
CO0131800,SHERIDAN LAKE WD
CT0400041,GQC WELL COMMISSION
IA7139032,PAULLINA MUNICIPAL WATER SUPPLY
IA7383901,SOUTHWEST REG WATER DISTRICT (CLARINDA)
IA8325013,ELK HORN MUNI WATER WORKS
LA1105028,WESTVIEW WATER WORKS
KS2014702,"KIRWIN, CITY OF"
KS2015513,"BUHLER, CITY OF"
KS2016501,"BISON, CITY OF"
KS2016701,"LURAY, CITY OF"
KS2000507,"LANCASTER, CITY OF"
KS2002502,"ASHLAND, CITY OF"
KS2002705,"MORGANVILLE, CITY OF"
KS2003109,"LEROY, CITY OF"
KS2004307,DONIPHAN CO RWD 5
KS2004903,"LONGTON, CITY OF"
KS2004904,"GRENOLA, CITY OF"
KS2004905,ELK CO RWD 1
KS2005712,"SPEARVILLE, CITY OF"
KS2007903,"BURRTON, CITY OF"
KS2010313,LAN DEL WATER DISTRICT
KS2010704,"PLEASANTON, CITY OF"
KS2011501,"BURNS, CITY OF"
KS2011506,"LEHIGH, CITY OF"
KS2012301,"BELOIT, CITY OF"
KS2013905,"MELVERN, CITY OF"
KS2014502,"ROZEL, CITY OF"
LA1001007,CITY OF RAYNE WATER SYSTEM
LA1009021,AVOYELLES WATER COMMISSION
LA1013004,BIENVILLE WATER SYSTEM
LA1015050,DOGWOOD SOUTH WATER SYSTEM
LA1031007,KEATCHIE WATER SYSTEM
LA1049008,HODGE WATER SYSTEM
LA1085016,CITY OF MANY WATER SYSTEM
LA1097011,VILLAGE OF PALMETTO WATER SYSTEM
NE3112901,"LAWRENCE, VILLAGE OF"
NE3116301,"ASHTON, VILLAGE OF"
VT0005191,COVENTRY FIRE DISTRICT 1
VT0005545,TARA TOWNHOUSES
VT0005604,NORTHSIDE CONDOMINIUM
VT0005653,DEER CREEK CONDOMINIUMS
WI1570104,ROCK SPRINGS WATERWORKS
CO0157800,TELLURIDE TOWN OF
CT0220191,KNOLLBROOK VILLAGE ELDERLY HOUSING
FL1660196,"DEFUNIAK SPRINGS W/S, CITY OF"
KS2001532,PUBLIC WHOLESALE WSD 8
KS2002709,"CLIFTON, CITY OF"
KS2004310,DONIPHAN CO RWD 6
KS2005119,"VICTORIA, CITY OF"
KS2007307,"VIRGIL, CITY OF"
KS2007502,"SYRACUSE, CITY OF"
KS2010310,"LINWOOD, CITY OF"
KS2010318,LEAVENWORTH CO RWD 5A
KS2010501,"LINCOLN, CITY OF"
KS2010503,"BARNARD, CITY OF"
KS2013906,OSAGE CO RWD 7
KS2014709,PHILLIPS CO RWD 1
KS2014905,"ONAGA, CITY OF"
KS2014907,"OLSBURG, CITY OF"
KS2015904,"LITTLE RIVER, CITY OF"
KS2020904,"BONNER SPRINGS, CITY OF"
MI0002620,GEORGETOWN TOWNSHIP
MO4024100,CAPE GIRARDEAU COUNTY PWSD 4
MO4010501,MARQUAND PWS
MO1010205,DEEPWATER PWS
MO2010506,MARTINSBURG PWS
MO3010219,DIXON PWS
NM3510219,PETE RAGAN MEMORIAL WUA
NM3510508,NORTH PARK MDWCA
NM3510517,WHISPERING CEDARS WATER ASSOCIATION
NM3513414,ALTO NORTH WATER COOP
NY2402366,LYONS FALLS VILLAGE
NM3527605,TEXICO WATER SYSTEM
NY3800150,HARTWICK WATER DISTRICT
OH1901312,VERSAILLES VILLAGE PWS
OH4502314,NEWARK CITY PWS
OK1021203,SHIDLER
NY0310323,CREEKSIDE VILLAGE
NY1330310,RAMAPO FOR CHILDREN
NY2801597,COUNTRY ESTATES
NY2902850,GLENWOOD WD
NY6030013,ARCADE VALLEY ESTATES
NY3202240,LIMBERLOST ROAD APARTMENTS (GU)
CO0156600,SILVERTON TOWN OF
CO0157500,NORWOOD WATER COMMISSION
WI1230083,MONTICELLO WATERWORKS
CO0107401,JAMESTOWN TOWN OF
CO0122600,PARK CENTER WD
AL0001439,SOUTH MARENGO CO WATER & FIRE PRO AUTH
IA8920001,CANTRIL WATER SUPPLY
IA9630316,DEERFIELD HEIGHTS ASSOCIATION
IL1650050,CARRIER MILLS
MA1074005,EAGLEBROOK SCHOOL
KS2001523,"WHITEWATER, CITY OF"
KS2001530,BUTLER CO RWD 6
LA1029003,CONCORDIA WATERWORKS DISTRICT 1
KS2004304,"TROY, CITY OF"
KS2005901,"LANE, CITY OF"
KS2007305,GREENWOOD CO RWD 1
KS2008706,JEFFERSON CO RWD 1
KS2011504,"GOESSEL, CITY OF"
LA1085059,EBARB WWKS DIST # 1 - AIMWELL AREA
LA1097005,TOWN OF LEONVILLE WATER SYSTEM
LA1103077,PONDEROSA RANCHES SUBDIVISION
MD0120011,GREENRIDGE SUBDIVISION
KS2014303,"BENNINGTON, CITY OF"
KS2015107,"IUKA, CITY OF"
KS2011308,"LINDSBORG, CITY OF"
KS2016713,"GORHAM, CITY OF"
LA1107004,ST JOSEPH WATER SYSTEM
NM3545907,PICACHO MDWCA
NM3554207,LEASBURG MDWCA
MO6010544,MORRISON PWS
MO3010441,LAKE OZARK PWS
AZ0411407,PARK WATER COMPANY INC
CO0151150,BOONE TOWN OF
WV3301719,GREATER HARRISON PSD - QUIET DELL
AZ0401022,SANDERS SCHOOL DISTRICT
WV3305518,RAVENCLIFF MCGRAWS SAULSVILLE PSD
CO0119321,GREEN ACRES MHP
CO0120010,ELIZABETH TOWN OF
KS2002301,"BIRD CITY, CITY OF"
KS2003302,"PROTECTION, CITY OF"
KS2007906,"NORTH NEWTON, CITY OF"
LA1079023,KOLIN RUBY WISE WATERWORK DISTRICT  11 A
MO1010013,AMAZONIA PWS
MO1010459,LEES SUMMIT PWS
MO1010757,ROSENDALE PWS
MO1021304,HOLT COUNTY PWSD  1
MO1024191,DEKALB COUNTY PWSD 1
LA1097009,MORROW WATER SYSTEM INC
LA1103042,TAMMANY MOBILE HOME PARK
NE3115509,"MEAD, VILLAGE OF"
ND1801056,AGASSIZ WATER USERS DISTRICT
WV3304204,HARMAN TOWN OF
WV3304211,HUTTONSVILLE PSD
WV3305004,FORT GAY WATER WORKS
AZ0407064,CHAPARRAL WATER COMPANY
CO0151450,PINE DRIVE WD
CO0162476,FIRESTONE TOWN OF
IL1310150,KEITHSBURG
IL1810200,DONGOLA
IL2010250,PECATONICA
KS2000111,"HUMBOLDT, CITY OF"
KS2000306,ANDERSON CO RWD 5
LA1005206,DIVERSION WATER - RIVER RUN ESTATES
LA1017006,BLANCHARD WATER SYSTEM
LA1017012,EAGLE WATER SYSTEM
KS2010317,LEAVENWORTH WATER DEPARTMENT
